0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Cabbage,90,±,9,,Cabbage90,1,60,15,20,8,1.5,0.5,,,240,180,120,60,,,60,45,30,15,,,80,60,40,20,,,32,24,16,8,,,4.5,3,1.5,,,,1.5,1,0.5,,,,0,0,0,,,,0,0,0,,,,0
Cabbage,70,±,7,,Cabbage70,2,40,12,15,6,1.2,0.4,,,160,120,80,40,,,48,36,24,12,,,60,45,30,15,,,24,18,12,6,,,3.6,2.4,1.2,,,,1.2,0.8,0.4,,,,0,0,0,,,,0,0,0,,,,0
Cauliflower,50,±,5,,Cauliflower50,1,40,20,30,7,1.5,0.8,,,160,120,80,40,,,80,60,40,20,,,120,90,60,30,,,28,21,14,7,,,4.5,3,1.5,,,,2.4,1.6,0.8,,,,0,0,0,,,,0,0,0,,,,0
Cauliflower,30,±,3,,Cauliflower30,2,30,15,25,6,1.2,0.7,,,120,90,60,30,,,60,45,30,15,,,100,75,50,25,,,24,18,12,6,,,3.6,2.4,1.2,,,,2.1,1.4,0.7,,,,0,0,0,,,,0,0,0,,,,0
Chinese Cabbage,40,±,4,,Chinese Cabbage40,1,35,10,12,5,,,,,140,105,70,35,,,40,30,20,10,,,48,36,24,12,,,20,15,10,5,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Broccoli,25,±,2.5,,Broccoli25,1,30,12,20,5,1,0.6,,,120,90,60,30,,,48,36,24,12,,,80,60,40,20,,,20,15,10,5,,,3,2,1,,,,1.8,1.2,0.6,,,,0,0,0,,,,0,0,0,,,,0
Batisak,30,±,3,,Batisak30,1,30,8,10,5,,,,,120,90,60,30,,,32,24,16,8,,,40,30,20,10,,,20,15,10,5,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Tomato,75,±,7.5,,Tomato75,1,40,15,20,7,1,0.5,,,160,120,80,40,,,60,45,30,15,,,80,60,40,20,,,28,21,14,7,,,3,2,1,,,,1.5,1,0.5,,,,0,0,0,,,,0,0,0,,,,0
Tomato,45,±,4.5,,Tomato45,2,30,12,15,5,1,0.5,,,120,90,60,30,,,48,36,24,12,,,60,45,30,15,,,20,15,10,5,,,3,2,1,,,,1.5,1,0.5,,,,0,0,0,,,,0,0,0,,,,0
Brinjal,60,±,6,,Brinjal60,1,45,12,35,5,1,0.5,,,180,135,90,45,,,48,36,24,12,,,140,105,70,35,,,20,15,10,5,,,3,2,1,,,,1.5,1,0.5,,,,0,0,0,,,,0,0,0,,,,0
Lady's Finger,16,±,1.6,,Lady's Finger16,1,30,10,20,5,1,0.7,,,120,90,60,30,,,40,30,20,10,,,80,60,40,20,,,20,15,10,5,,,3,2,1,,,,2.1,1.4,0.7,,,,0,0,0,,,,0,0,0,,,,0
