Sandy,Upland,B
Sandy Clay Loam,Upland,B
Sandy Loam,Upland,B
Sandy Clay,Upland,B
Loamy,Upland,A
Clay Loam,Upland,A
Silty Clay Loam,Upland,A
Silty Loam,Upland,A
Clayey,Upland,A
Loamy,Wetland,C
Clay Loam,Wetland,C
Silty Clay Loam,Wetland,C
Silty Loam,Wetland,C
Clayey,Wetland,C
Sandy,Wetland,B
Sandy Clay Loam,Wetland,B
Sandy Loam,Wetland,B
Sandy Clay,Wetland,B
